Date,ADANIPORTS,AMBUJACEM,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BPCL,BHARTIARTL,INDUSTOWER,BOSCHLTD,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,HCLTECH,HDFCBANK,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,HDFC,ICICIBANK,IBULHSGFIN,ITC,IOC,INDUSINDBK,INFY,KOTAKBANK,LUPIN,LT,M&M,MARUTI,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,TECHM,UPL,ULTRACEMCO,VEDL,WIPRO,YESBANK,ZEEL,^NSEI
2013-01-01,132.59339904785156,169.4790496826172,415.9947509765625,92.47863006591797,258.4648742675781,1752.84814453125,128.242919921875,79.9529037475586,281.5091857910156,137.81338500976562,8880.6142578125,404.0440979003906,195.56442260742188,1721.81494140625,258.3835144042969,80.13362884521484,136.2395477294922,324.319580078125,1484.139892578125,126.2332992553711,44.90406036376953,463.262939453125,735.2221069335938,187.93898010253906,,159.19581604003906,44.76293182373047,407.470458984375,236.3425750732422,323.38134765625,587.7484741210938,628.314453125,446.01983642578125,1407.14013671875,93.5573959350586,130.01612854003906,88.2923583984375,390.30450439453125,226.5474395751953,353.5127258300781,533.4660034179688,309.8193054199219,345.5892333984375,201.99838256835938,80.70210266113281,1973.0439453125,128.53855895996094,137.04779052734375,87.24320983886719,212.81301879882812,
2013-01-02,133.2188262939453,171.53665161132812,411.1887512207031,96.42254638671875,263.04541015625,1810.6903076171875,126.83381652832031,82.23055267333984,280.5914611816406,140.42677307128906,8963.625,406.94775390625,194.88528442382812,1723.64404296875,252.39920043945312,81.78160858154297,136.91842651367188,325.6698913574219,1490.3975830078125,127.03315734863281,45.988704681396484,463.1757507324219,747.2704467773438,190.46170043945312,,158.1705322265625,45.661041259765625,416.8569030761719,236.37832641601562,326.83929443359375,587.939697265625,637.84619140625,444.50433349609375,1447.0946044921875,94.76069641113281,133.3922119140625,87.71073150634766,393.67041015625,228.79754638671875,354.18194580078125,533.1074829101562,311.0419921875,345.5497741699219,203.30728149414062,80.27544403076172,1985.1876220703125,131.32162475585938,135.96009826660156,89.22767639160156,220.24502563476562,5993.25
2013-01-03,133.07449340820312,173.38429260253906,413.51654052734375,96.66156005859375,263.6334228515625,1821.091064453125,130.24856567382812,82.1856689453125,286.6656494140625,142.41294860839844,8900.669921875,404.4312744140625,195.83609008789062,1765.475830078125,252.83233642578125,81.46769714355469,137.0717010498047,323.7746887207031,1476.787109375,126.46855163574219,46.19013595581055,464.7908935546875,746.299560546875,190.14537048339844,,157.14523315429688,45.58550262451172,418.10845947265625,239.31622314453125,325.8442077636719,582.1549682617188,632.9353637695312,443.4624938964844,1433.9932861328125,94.7907943725586,135.91822814941406,88.5250244140625,399.6129150390625,230.76290893554688,350.81170654296875,540.4078979492188,311.1397705078125,348.8227233886719,203.66427612304688,83.38404846191406,1975.04345703125,132.29248046875,137.3585662841797,90.02328491210938,220.29266357421875,6009.5
2013-01-04,132.30471801757812,173.0903778076172,414.0150451660156,96.39864349365234,261.54705810546875,1813.4447021484375,130.30963134765625,83.92474365234375,285.7916564941406,144.36427307128906,8841.310546875,402.7858581542969,197.65615844726562,1772.08837890625,249.51307678222656,83.21656799316406,138.84544372558594,321.87945556640625,1476.787109375,124.72774505615234,48.62282943725586,466.84271240234375,739.4146118164062,191.82444763183594,,156.5078887939453,47.19707107543945,414.69085693359375,240.50872802734375,323.5057373046875,577.9957275390625,629.5131225585938,445.7593688964844,1435.9908447265625,95.60301971435547,138.34707641601562,89.14543151855469,400.1236267089844,232.17271423339844,351.43316650390625,548.2568969726562,308.49884033203125,341.8824768066406,203.91310119628906,82.83548736572266,1991.67431640625,130.5449676513672,139.3785858154297,89.44715881347656,216.33843994140625,6016.14990234375
2013-01-07,134.75839233398438,171.20071411132812,413.2955322265625,96.37474822998047,260.3900451660156,1806.2913818359375,130.1170196533203,86.50530242919922,285.6168518066406,144.53854370117188,8825.0869140625,410.7225341796875,195.7002716064453,1770.4468994140625,251.34727478027344,82.1403579711914,137.49868774414062,316.5965576171875,1484.10107421875,126.46855163574219,50.98577880859375,458.72296142578125,726.3953857421875,191.7838897705078,,154.65130615234375,47.21385955810547,415.2684326171875,243.0934295654297,322.6350402832031,572.5455932617188,614.1039428710938,451.86859130859375,1472.3681640625,94.82086944580078,139.9015350341797,88.71890258789062,397.686279296875,230.3894500732422,355.73553466796875,546.4213256835938,306.3958740234375,347.7185974121094,200.57041931152344,83.6583480834961,1990.5035400390625,131.15982055664062,139.82742309570312,91.12983703613281,212.7177276611328,5988.39990234375
2013-01-08,132.25660705566406,169.6470184326172,413.2720031738281,95.94448852539062,258.0096130371094,1807.56591796875,129.9995880126953,85.43942260742188,288.6758117675781,141.43728637695312,8777.8828125,415.7071533203125,195.72744750976562,1789.7215576171875,247.0424346923828,81.73675537109375,138.98777770996094,317.56787109375,1471.4287109375,125.15118408203125,50.08708572387695,458.8102722167969,741.7095947265625,191.36209106445312,,158.33677673339844,47.23064422607422,417.57904052734375,239.94061279296875,324.77447509765625,571.7328491210938,605.8871459960938,453.83392333984375,1463.30859375,94.73062133789062,140.92166137695312,90.30868530273438,394.9239196777344,232.79360961914062,360.65936279296875,548.7000732421875,307.2762145996094,341.7642517089844,200.4298095703125,83.8716812133789,1969.4837646484375,129.2505340576172,137.4794464111328,91.38590240478516,213.43234252929688,6001.7001953125
2013-01-09,130.0435028076172,165.4478302001953,410.45513916015625,93.9366683959961,255.9896697998047,1774.2257080078125,128.8159637451172,86.55021667480469,291.6910400390625,142.90077209472656,8712.5634765625,414.6424255371094,197.60183715820312,1792.30078125,244.6160125732422,83.09324645996094,139.2396240234375,316.2648620605469,1445.302734375,124.25726318359375,52.04718017578125,453.3970947265625,732.6181640625,191.50808715820312,,154.90069580078125,48.07000732421875,418.3491516113281,238.60986328125,322.95843505859375,566.3306274414062,599.2362060546875,456.7464904785156,1458.430419921875,93.67771911621094,141.94178771972656,89.61073303222656,395.8756408691406,235.54324340820312,363.88623046875,538.7198486328125,320.1873779296875,333.04962158203125,203.2423858642578,82.89643096923828,1914.080810546875,127.40592956542969,137.099609375,92.21808624267578,212.81301879882812,5971.5
2013-01-10,130.66897583007812,161.03871154785156,410.3187561035156,91.23570251464844,259.4701843261719,1757.987060546875,132.0287322998047,85.46186828613281,288.4573059082031,142.93563842773438,8820.16796875,411.7872009277344,198.66128540039062,1791.5035400390625,248.0457000732422,82.3869857788086,140.49871826171875,320.19744873046875,1446.1240234375,122.37528228759766,51.171722412109375,451.0397644042969,728.6461181640625,191.35397338867188,,155.73199462890625,48.03642654418945,424.7512512207031,237.7193603515625,325.32183837890625,559.3984375,598.03759765625,455.254638671875,1460.939208984375,92.53457641601562,146.82376098632812,88.33114624023438,394.6453552246094,237.06509399414062,360.56378173828125,531.039306640625,326.3984375,331.6300354003906,211.07440185546875,83.44500732421875,1852.435546875,125.10831451416016,136.59889221191406,94.27570343017578,215.14743041992188,5968.64990234375
2013-01-11,126.72388458251953,156.5455780029297,404.37005615234375,88.20008850097656,258.73040771484375,1741.5020751953125,130.10763549804688,83.19544219970703,284.2184753417969,143.1795654296875,8703.9072265625,407.9640808105469,195.94473266601562,1781.9365234375,248.46115112304688,81.7143325805664,141.21041870117188,317.1177062988281,1438.8494873046875,119.55233001708984,50.5131950378418,434.8875732421875,714.5234985351562,188.766357421875,,151.52003479003906,47.80140686035156,414.9796142578125,277.62066650390625,313.4552917480469,561.9322509765625,592.37255859375,444.1728515625,1454.388427734375,91.87276458740234,142.0146484375,87.74950408935547,389.9330749511719,232.57887268066406,353.3931579589844,551.2741088867188,323.1706237792969,329.1062927246094,214.04925537109375,81.64689636230469,1836.9754638671875,125.82024383544922,145.00686645507812,91.15726470947266,221.34080505371094,5951.2998046875
2013-01-14,131.15008544921875,159.61097717285156,410.5868225097656,91.80937957763672,262.9032287597656,1721.15283203125,130.9390411376953,83.73400115966797,287.2774658203125,144.81727600097656,8710.43359375,402.9310302734375,195.12977600097656,1794.3172607421875,244.3684844970703,83.16050720214844,147.33096313476562,317.1177062988281,1441.78271484375,120.68150329589844,51.125240325927734,441.17376708984375,730.0142211914062,192.2705841064453,,154.01397705078125,48.36378479003906,423.7403564453125,287.28387451171875,312.7338562011719,553.7093505859375,601.2083129882812,442.79949951171875,1430.0908203125,92.68498992919922,148.2810516357422,86.89644622802734,393.4847106933594,233.39117431640625,351.5049133300781,563.1533813476562,320.5296936035156,334.2325439453125,216.78611755371094,84.20692443847656,1820.2471923828125,127.40592956542969,144.73062133789062,92.63875579833984,221.72190856933594,6024.0498046875
2013-01-15,131.72740173339844,166.2876739501953,405.6538391113281,92.19180297851562,270.1485900878906,1739.240966796875,132.08506774902344,86.43798828125,301.6981201171875,143.04019165039062,8617.6806640625,405.3507385253906,192.90219116210938,1784.28125,245.23919677734375,83.46319580078125,145.42581176757812,316.6439514160156,1442.8780517578125,121.48133850097656,51.303428649902344,439.7768249511719,728.6461181640625,195.38548278808594,,157.45004272460938,49.95016098022461,425.42510986328125,285.2929382324219,313.2811584472656,557.5818481445312,603.2191162109375,440.10003662109375,1436.5020751953125,93.64764404296875,149.39833068847656,86.12093353271484,393.2989501953125,232.46681213378906,349.06689453125,564.3981323242188,324.29547119140625,335.021240234375,216.3101348876953,83.14024353027344,1873.30908203125,125.56133270263672,145.3521728515625,96.56195068359375,219.24456787109375,6056.60009765625
2013-01-16,130.47653198242188,165.9517364501953,402.3807678222656,90.08838653564453,267.3320007324219,1707.298583984375,130.1827850341797,85.7647933959961,299.68792724609375,142.44778442382812,8690.3349609375,402.6890563964844,191.57110595703125,1810.1214599609375,245.2259063720703,83.60894012451172,147.55001831054688,312.9482727050781,1435.0557861328125,116.11772155761719,50.544189453125,436.6773681640625,722.7762451171875,191.41075134277344,,157.3946533203125,49.849449157714844,413.9687194824219,283.2864990234375,310.76849365234375,554.4743041992188,597.109619140625,426.55560302734375,1387.4415283203125,93.97855377197266,147.57669067382812,86.89644622802734,399.8914794921875,227.10299682617188,343.8800964355469,568.744873046875,313.0470886230469,327.2529602050781,215.8990936279297,82.0430908203125,1873.455322265625,123.36075592041016,145.00686645507812,94.75125122070312,212.19366455078125,6001.85009765625
2013-01-17,129.51431274414062,167.9253692626953,407.5442810058594,90.18397521972656,266.7535095214844,1687.7713623046875,129.8586883544922,88.8951416015625,308.9521179199219,142.8311004638672,8716.7744140625,394.31683349609375,191.54393005371094,1818.1876220703125,241.37631225585938,84.3936767578125,154.1632080078125,315.9331970214844,1422.61865234375,114.8473892211914,53.28676986694336,437.026611328125,712.8462524414062,188.59600830078125,,158.1151123046875,53.03060531616211,410.74371337890625,286.4085998535156,312.410400390625,560.8327026367188,590.7293701171875,426.67401123046875,1388.27783203125,94.52005004882812,152.7501220703125,87.36174011230469,413.192626953125,230.59951782226562,342.7567443847656,574.7581787109375,321.75238037109375,330.2104187011719,220.33432006835938,84.48121643066406,1863.3599853515625,122.74593353271484,148.7187957763672,95.82120513916016,217.624755859375,6039.2001953125
