Ticker,Date/Time,Open,High,Low,Close,Volume,Rel_Vol_21,H_L_Range,ATR,ADX_21,PDI_21,MDI_21,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6
BTU,03.09.2021,15.75,18.28,14.87,17.54,31037908,1.2,3.41,1.89,46,36,5,12.44,38.66,30.51,42.02,49.79,60.48
BTU,10.09.2021,17.85,19.83,17.65,18.97,18254498,0.7,2.18,1.91,47,37,5,8.15,21.60,49.96,41.15,53.60,62.00
BTU,17.09.2021,19.28,19.44,14.65,14.72,35180732,1.3,4.79,2.05,48,33,11,-22.40,-16.08,-5.64,16.36,9.52,19.19
BTU,24.09.2021,14.00,15.14,12.79,12.97,34256588,1.3,2.35,2.06,47,31,15,-11.89,-31.63,-26.05,-16.86,2.53,-3.50
BTU,01.10.2021,13.34,15.93,12.56,15.65,47229384,1.7,3.37,2.12,47,31,14,20.66,6.32,-17.50,-10.78,0.32,23.72
BTU,08.10.2021,15.83,18.42,15.46,16.05,52241260,1.9,2.96,2.16,47,34,13,2.56,23.75,9.04,-15.39,-8.49,2.88
BTU,15.10.2021,16.55,17.90,15.51,15.96,31303304,1.1,2.39,2.17,46,33,12,-0.56,1.98,23.05,8.42,-15.87,-9.01
BTU,22.10.2021,16.50,19.75,13.55,14.15,82637592,2.8,6.20,2.37,46,28,15,-11.34,-11.84,-9.58,9.10,-3.87,-25.41
BTU,29.10.2021,14.30,14.71,11.29,11.89,40407984,1.3,3.42,2.42,45,27,18,-15.97,-25.50,-25.92,-24.03,-8.33,-19.23
BTU,04.11.2021,12.02,12.63,10.96,12.17,18974348,0.6,1.67,2.38,43,26,18,2.35,-13.99,-23.75,-24.17,-22.24,-6.17
