Ticker,Date/Time,Open,High,Low,Close,Volume,Rel_Vol_21,H_L_Range,ATR,ADX_21,PDI_21,MDI_21,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6
GME,24.12.2015,28.53,29.10,28.05,28.37,10132541,1.0,1.05,3.17,17,16,33,-1.36,-5.43,-14.80,-21.22,-27.74,-23.70
GME,31.12.2015,28.37,28.94,28.03,28.04,7500919,0.8,0.91,3.06,18,16,32,-1.16,-2.50,-6.53,-15.80,-22.13,-28.58
GME,08.01.2016,27.04,29.01,27.01,28.37,16865560,1.7,2.00,3.01,19,15,33,1.18,0.00,-1.36,-5.43,-14.80,-21.22
GME,15.01.2016,28.33,29.55,24.85,25.64,22044824,2.2,4.70,3.09,20,14,34,-9.62,-8.56,-9.62,-10.85,-14.53,-23.00
GME,22.01.2016,25.96,26.03,24.33,25.67,8903037,0.9,1.70,3.02,21,14,34,0.12,-9.52,-8.45,-9.52,-10.74,-14.43
GME,29.01.2016,25.60,26.78,24.91,26.21,9934394,1.0,1.88,2.97,22,15,33,2.10,2.22,-7.61,-6.53,-7.61,-8.87
GME,05.02.2016,26.20,27.19,24.75,26.83,10397240,1.1,2.44,2.94,22,15,31,2.37,4.52,4.64,-5.43,-4.32,-5.43
GME,12.02.2016,26.55,27.96,26.14,26.98,11663270,1.2,1.82,2.89,23,15,30,0.56,2.94,5.10,5.23,-4.90,-3.78
GME,19.02.2016,27.33,29.80,26.89,28.19,8002935,0.8,2.91,2.89,23,18,29,4.48,5.07,7.55,9.82,9.95,-0.63
GME,26.02.2016,28.53,30.61,28.26,30.54,7773369,0.8,2.35,2.87,23,18,28,8.34,13.19,13.83,16.52,18.97,19.11
GME,04.03.2016,30.44,32.95,29.16,31.23,14673274,1.5,3.79,2.91,22,21,26,2.26,10.78,15.75,16.40,19.15,21.66
GME,11.03.2016,31.03,31.70,29.81,30.75,11422519,1.1,1.89,2.86,22,20,25,-1.54,0.69,9.08,13.97,14.61,17.32
GME,18.03.2016,30.76,32.29,29.97,30.83,13913606,1.4,2.32,2.84,21,21,24,0.26,-1.28,0.95,9.37,14.27,14.91
GME,24.03.2016,30.92,31.66,29.61,30.27,11990930,1.2,2.05,2.80,21,20,24,-1.82,-1.56,-3.07,-0.88,7.38,12.19
GME,01.04.2016,28.95,32.43,28.40,31.34,18800812,1.8,4.03,2.86,20,19,24,3.53,1.65,1.92,0.35,2.62,11.17
GME,08.04.2016,31.39,31.42,29.00,29.49,11340906,1.1,2.42,2.84,20,18,23,-5.90,-2.58,-4.35,-4.10,-5.57,-3.44
GME,15.04.2016,29.74,32.14,29.71,31.79,11330283,1.1,2.43,2.83,19,18,22,7.80,1.44,5.02,3.11,3.38,1.79
GME,22.04.2016,31.86,33.29,31.63,32.80,31000712,2.8,1.66,2.77,19,20,22,3.18,11.22,4.66,8.36,6.39,6.67
GME,29.04.2016,32.68,33.72,32.37,32.80,11152482,1.0,1.35,2.70,18,20,21,0.00,3.18,11.22,4.66,8.36,6.39
GME,06.05.2016,32.81,32.86,29.36,30.09,12262329,1.1,3.50,2.74,18,19,25,-8.26,-8.26,-5.35,2.03,-3.99,-0.59
GME,13.05.2016,30.10,30.66,28.41,28.73,11315991,1.0,2.25,2.72,18,18,26,-4.52,-12.41,-12.41,-9.63,-2.58,-8.33
GME,20.05.2016,28.76,29.40,27.52,28.48,15432479,1.3,1.88,2.68,18,17,27,-0.87,-5.35,-13.17,-13.17,-10.41,-3.42
GME,27.05.2016,28.61,30.42,27.65,28.80,21125584,1.8,2.77,2.68,18,18,25,1.12,0.24,-4.29,-12.20,-12.20,-9.41
GME,03.06.2016,28.89,29.35,28.31,28.63,17836866,1.5,1.04,2.61,18,18,25,-0.59,0.53,-0.35,-4.85,-12.71,-12.71
GME,10.06.2016,28.27,28.78,26.16,26.53,13616501,1.1,2.63,2.61,18,17,28,-7.33,-7.88,-6.85,-7.66,-11.83,-19.12
GME,17.06.2016,26.45,26.67,25.35,26.15,13933793,1.2,1.32,2.54,18,17,28,-1.43,-8.66,-9.20,-8.18,-8.98,-13.09
GME,24.06.2016,26.45,26.82,25.26,25.34,8999602,0.8,1.56,2.50,19,17,28,-3.10,-4.49,-11.49,-12.01,-11.03,-11.80
GME,01.07.2016,25.31,27.38,25.18,27.06,12920427,1.1,2.20,2.48,19,17,26,6.79,3.48,2.00,-5.48,-6.04,-4.99
GME,08.07.2016,27.03,27.39,25.73,27.37,9006154,0.7,1.66,2.44,19,16,26,1.15,8.01,4.67,3.17,-4.40,-4.97
GME,15.07.2016,28.11,29.20,27.98,27.99,14010052,1.2,1.22,2.42,19,19,25,2.27,3.44,10.46,7.04,5.50,-2.24
GME,22.07.2016,28.00,31.85,27.87,30.81,23073618,1.9,3.98,2.49,18,23,23,10.08,12.57,13.86,21.59,17.82,16.13
GME,29.07.2016,30.52,31.58,30.05,30.95,9976067,0.8,1.53,2.44,17,22,22,0.45,10.58,13.08,14.38,22.14,18.36
GME,05.08.2016,30.97,30.99,28.57,30.04,12487412,1.0,2.42,2.44,16,21,24,-2.94,-2.50,7.32,9.76,11.01,18.55
GME,12.08.2016,30.14,31.73,29.50,31.35,10666525,0.8,2.23,2.43,16,22,23,4.36,1.29,1.75,12.00,14.54,15.85
GME,19.08.2016,31.31,32.08,30.50,31.72,8525044,0.7,1.58,2.39,15,22,22,1.18,5.59,2.49,2.95,13.33,15.89
GME,26.08.2016,32.00,32.67,28.69,28.74,27888260,2.2,3.98,2.47,15,20,24,-9.39,-8.33,-4.33,-7.14,-6.72,2.68
GME,02.09.2016,28.75,28.97,27.97,28.39,13878691,1.1,1.00,2.40,15,20,25,-1.22,-10.50,-9.44,-5.49,-8.27,-7.85
GME,09.09.2016,28.38,28.67,27.17,27.18,7674879,0.6,1.50,2.35,15,19,26,-4.26,-5.43,-14.31,-13.30,-9.52,-12.18
GME,16.09.2016,27.38,27.63,26.69,27.09,12419352,1.0,0.94,2.29,15,19,26,-0.33,-4.58,-5.74,-14.60,-13.59,-9.82
