,time,volume,mid_o,mid_h,mid_l,mid_c,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
13,2007-09-23T21:00:00.000000000Z,12879,731.650,736.450,726.080,730.270,730.400,736.250,725.880,729.920,732.900,736.650,726.280,730.620
14,2007-09-24T21:00:00.000000000Z,11939,730.270,733.860,722.300,731.700,729.920,733.660,722.100,731.350,730.620,734.060,722.500,732.050
15,2007-09-25T21:00:00.000000000Z,13278,731.700,736.950,726.420,729.070,731.350,736.750,726.220,728.720,732.050,737.150,726.620,729.420
16,2007-09-26T21:00:00.000000000Z,13457,728.920,736.050,727.150,734.500,728.570,735.850,726.800,734.150,729.270,736.250,727.500,734.850
17,2007-09-27T21:00:00.000000000Z,17826,734.500,746.050,733.550,743.650,734.150,745.850,733.200,742.400,734.850,746.250,733.900,744.900
18,2007-09-30T21:00:00.000000000Z,13541,744.250,748.050,741.350,747.300,743.000,747.850,741.150,746.950,745.500,748.250,741.550,747.650
19,2007-10-01T21:00:00.000000000Z,20092,747.300,747.450,724.750,731.850,746.950,747.100,724.550,731.500,747.650,747.800,724.950,732.200
20,2007-10-02T21:00:00.000000000Z,16873,731.850,736.300,726.480,727.850,731.500,736.050,726.280,727.500,732.200,736.550,726.680,728.200
21,2007-10-03T21:00:00.000000000Z,18086,728.250,738.700,720.920,737.950,727.900,738.500,720.720,737.600,728.600,738.900,721.120,738.300
22,2007-10-04T21:00:00.000000000Z,15245,737.950,744.600,727.150,742.600,737.600,744.400,726.950,741.350,738.300,744.800,727.350,743.850
23,2007-10-06T21:00:00.000000000Z,4,742.200,742.200,741.700,741.900,740.950,740.950,740.450,740.650,743.450,743.450,742.950,743.150
24,2007-10-07T21:00:00.000000000Z,11994,741.700,742.850,731.370,733.350,740.450,742.500,731.170,733.000,742.950,743.550,731.570,733.700
25,2007-10-08T21:00:00.000000000Z,17172,733.400,740.770,726.770,738.200,733.050,740.570,726.570,737.850,733.750,740.970,726.970,738.550
26,2007-10-09T21:00:00.000000000Z,14357,738.200,746.200,737.700,741.100,737.850,746.000,737.350,740.750,738.550,746.400,738.050,741.450
27,2007-10-10T21:00:00.000000000Z,16667,741.150,754.010,740.700,747.960,740.800,753.810,740.350,747.610,741.500,754.210,741.050,748.310
28,2007-10-11T21:00:00.000000000Z,16766,747.960,752.550,745.160,750.500,747.610,752.350,744.910,749.250,748.310,752.750,745.410,751.750
29,2007-10-12T21:00:00.000000000Z,1,750.500,750.500,750.500,750.500,749.250,749.250,749.250,749.250,751.750,751.750,751.750,751.750
30,2007-10-13T21:00:00.000000000Z,2,750.400,750.400,750.100,750.100,749.150,749.150,748.850,748.850,751.650,751.650,751.350,751.350
31,2007-10-14T21:00:00.000000000Z,14823,749.200,760.300,747.550,759.300,747.950,760.100,746.300,758.950,750.450,760.500,748.600,759.650
