,time,volume,mid_o,mid_h,mid_l,mid_c,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
0,2021-03-17T07:00:00.000000000Z,3056,1.19076,1.19081,1.18911,1.18912,1.19070,1.19075,1.18905,1.18906,1.19083,1.19087,1.18916,1.18919
1,2021-03-17T08:00:00.000000000Z,3456,1.18911,1.19000,1.18862,1.18981,1.18905,1.18994,1.18856,1.18975,1.18917,1.19005,1.18869,1.18987
2,2021-03-17T09:00:00.000000000Z,4173,1.18982,1.19168,1.18970,1.19107,1.18977,1.19162,1.18963,1.19100,1.18988,1.19174,1.18976,1.19114
3,2021-03-17T10:00:00.000000000Z,2490,1.19106,1.19154,1.19066,1.19114,1.19099,1.19149,1.19060,1.19107,1.19112,1.19161,1.19073,1.19120
4,2021-03-17T11:00:00.000000000Z,4982,1.19111,1.19118,1.18926,1.18936,1.19104,1.19113,1.18920,1.18930,1.19118,1.19125,1.18933,1.18943
5,2021-03-17T12:00:00.000000000Z,5345,1.18936,1.19140,1.18913,1.19118,1.18929,1.19134,1.18907,1.19112,1.18942,1.19146,1.18919,1.19123
6,2021-03-17T13:00:00.000000000Z,5255,1.19116,1.19126,1.19008,1.19012,1.19110,1.19120,1.19001,1.19005,1.19122,1.19133,1.19014,1.19018
7,2021-03-17T14:00:00.000000000Z,5136,1.19012,1.19152,1.19008,1.19078,1.19007,1.19146,1.19003,1.19073,1.19018,1.19158,1.19014,1.19084
8,2021-03-17T15:00:00.000000000Z,6001,1.19078,1.19131,1.19029,1.19040,1.19072,1.19124,1.19023,1.19035,1.19083,1.19138,1.19035,1.19046
9,2021-03-17T16:00:00.000000000Z,4169,1.19040,1.19042,1.18970,1.19016,1.19034,1.19036,1.18964,1.19010,1.19045,1.19047,1.18976,1.19023
10,2021-03-17T17:00:00.000000000Z,3236,1.19018,1.19104,1.18977,1.19086,1.19011,1.19097,1.18971,1.19063,1.19024,1.19112,1.18982,1.19109
11,2021-03-17T18:00:00.000000000Z,22840,1.19092,1.19854,1.19092,1.19774,1.19069,1.19847,1.19069,1.19768,1.19116,1.19861,1.19116,1.19780
12,2021-03-17T19:00:00.000000000Z,8603,1.19773,1.19830,1.19614,1.19772,1.19767,1.19824,1.19607,1.19766,1.19779,1.19837,1.19621,1.19779
13,2021-03-17T20:00:00.000000000Z,1949,1.19771,1.19856,1.19748,1.19794,1.19765,1.19849,1.19741,1.19784,1.19777,1.19864,1.19754,1.19803
14,2021-03-17T21:00:00.000000000Z,118,1.19781,1.19830,1.19774,1.19805,1.19754,1.19812,1.19754,1.19795,1.19808,1.19872,1.19790,1.19815
15,2021-03-17T22:00:00.000000000Z,1162,1.19802,1.19875,1.19782,1.19785,1.19793,1.19868,1.19767,1.19778,1.19811,1.19882,1.19788,1.19792
16,2021-03-17T23:00:00.000000000Z,1064,1.19784,1.19840,1.19780,1.19828,1.19777,1.19833,1.19774,1.19821,1.19790,1.19848,1.19787,1.19834
17,2021-03-18T00:00:00.000000000Z,2962,1.19826,1.19877,1.19786,1.19855,1.19820,1.19870,1.19779,1.19848,1.19833,1.19884,1.19793,1.19862
18,2021-03-18T01:00:00.000000000Z,2540,1.19854,1.19866,1.19670,1.19693,1.19847,1.19859,1.19663,1.19686,1.19861,1.19873,1.19677,1.19700
19,2021-03-18T02:00:00.000000000Z,1727,1.19692,1.19712,1.19654,1.19708,1.19686,1.19706,1.19647,1.19702,1.19698,1.19719,1.19661,1.19715
20,2021-03-18T03:00:00.000000000Z,4091,1.19708,1.19750,1.19588,1.19592,1.19701,1.19744,1.19580,1.19586,1.19714,1.19756,1.19595,1.19599
21,2021-03-18T04:00:00.000000000Z,1713,1.19594,1.19640,1.19554,1.19614,1.19587,1.19634,1.19547,1.19608,1.19602,1.19647,1.19561,1.19619
22,2021-03-18T05:00:00.000000000Z,2270,1.19612,1.19687,1.19590,1.19650,1.19606,1.19680,1.19583,1.19642,1.19618,1.19695,1.19596,1.19657
23,2021-03-18T06:00:00.000000000Z,2716,1.19650,1.19799,1.19648,1.19796,1.19642,1.19793,1.19641,1.19789,1.19657,1.19806,1.19654,1.19802
24,2021-03-18T07:00:00.000000000Z,9403,1.19794,1.19890,1.19428,1.19474,1.19788,1.19883,1.19421,1.19468,1.19800,1.19896,1.19434,1.19480
25,2021-03-18T08:00:00.000000000Z,8028,1.19475,1.19558,1.19350,1.19474,1.19469,1.19551,1.19344,1.19467,1.19481,1.19564,1.19356,1.19480
26,2021-03-18T09:00:00.000000000Z,6125,1.19472,1.19504,1.19370,1.19423,1.19466,1.19499,1.19364,1.19418,1.19479,1.19510,1.19377,1.19428
27,2021-03-18T10:00:00.000000000Z,4330,1.19424,1.19441,1.19342,1.19398,1.19418,1.19435,1.19336,1.19392,1.19431,1.19447,1.19348,1.19405
