,time,volume,mid_o,mid_h,mid_l,mid_c,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
0,2021-03-17T07:00:00.000000000Z,2191,151.798,152.010,151.766,151.914,151.786,151.998,151.753,151.903,151.810,152.022,151.778,151.925
1,2021-03-17T08:00:00.000000000Z,2083,151.911,151.945,151.679,151.683,151.900,151.936,151.668,151.672,151.922,151.955,151.690,151.694
2,2021-03-17T09:00:00.000000000Z,2278,151.685,151.762,151.583,151.644,151.676,151.751,151.572,151.633,151.694,151.773,151.594,151.655
3,2021-03-17T10:00:00.000000000Z,1918,151.642,151.866,151.538,151.800,151.630,151.855,151.528,151.788,151.653,151.876,151.548,151.811
4,2021-03-17T11:00:00.000000000Z,2618,151.804,151.851,151.696,151.740,151.793,151.840,151.686,151.728,151.814,151.862,151.706,151.751
5,2021-03-17T12:00:00.000000000Z,2482,151.742,151.826,151.674,151.826,151.731,151.816,151.664,151.815,151.753,151.837,151.685,151.836
6,2021-03-17T13:00:00.000000000Z,2606,151.822,151.855,151.721,151.766,151.811,151.845,151.710,151.756,151.833,151.865,151.732,151.776
7,2021-03-17T14:00:00.000000000Z,2861,151.769,151.844,151.490,151.622,151.758,151.833,151.480,151.613,151.780,151.854,151.501,151.631
8,2021-03-17T15:00:00.000000000Z,3255,151.620,151.730,151.510,151.677,151.610,151.720,151.499,151.667,151.630,151.741,151.522,151.687
9,2021-03-17T16:00:00.000000000Z,2555,151.675,151.698,151.568,151.575,151.665,151.687,151.557,151.565,151.685,151.708,151.578,151.585
10,2021-03-17T17:00:00.000000000Z,2273,151.578,151.598,151.345,151.409,151.567,151.587,151.334,151.361,151.589,151.609,151.356,151.457
11,2021-03-17T18:00:00.000000000Z,13315,151.402,151.820,151.378,151.793,151.348,151.808,151.343,151.781,151.456,151.831,151.395,151.805
12,2021-03-17T19:00:00.000000000Z,4413,151.791,152.039,151.722,152.039,151.779,152.028,151.706,152.028,151.803,152.050,151.736,152.050
13,2021-03-17T20:00:00.000000000Z,1146,152.036,152.070,151.958,151.975,152.025,152.058,151.944,151.947,152.048,152.084,151.971,152.003
14,2021-03-17T21:00:00.000000000Z,1709,152.008,152.092,151.878,151.996,151.933,152.046,151.803,151.935,152.083,152.149,151.945,152.058
15,2021-03-17T22:00:00.000000000Z,1375,151.988,152.048,151.890,152.001,151.927,152.034,151.870,151.987,152.049,152.062,151.907,152.015
16,2021-03-17T23:00:00.000000000Z,999,152.003,152.200,152.000,152.192,151.992,152.189,151.990,152.180,152.014,152.211,152.010,152.204
17,2021-03-18T00:00:00.000000000Z,2358,152.190,152.250,152.140,152.208,152.179,152.237,152.128,152.197,152.200,152.263,152.151,152.220
18,2021-03-18T01:00:00.000000000Z,2566,152.212,152.262,152.156,152.170,152.201,152.250,152.145,152.159,152.222,152.274,152.168,152.182
19,2021-03-18T02:00:00.000000000Z,1208,152.168,152.190,152.116,152.186,152.156,152.178,152.104,152.174,152.181,152.203,152.127,152.198
20,2021-03-18T03:00:00.000000000Z,4853,152.184,152.186,151.624,151.796,152.172,152.174,151.610,151.784,152.196,152.199,151.638,151.809
21,2021-03-18T04:00:00.000000000Z,1805,151.799,151.988,151.796,151.969,151.788,151.976,151.786,151.959,151.810,152.000,151.807,151.979
22,2021-03-18T05:00:00.000000000Z,1533,151.971,151.990,151.888,151.952,151.960,151.979,151.876,151.939,151.982,152.001,151.899,151.965
